iter	MAPE
0	0.2056592681
1	0.2036312253
2	0.2008950929
3	0.200029221
4	0.1984906698
5	0.1970108003
6	0.1953266833
7	0.1931077727
8	0.1918844348
9	0.1908393733
10	0.1886451653
11	0.186424862
12	0.1850988931
13	0.183303779
14	0.1814138976
15	0.1798422352
16	0.1783921828
17	0.1772657437
18	0.1756862033
19	0.1746848403
20	0.1741853787
21	0.1726689333
22	0.1709337167
23	0.1692011421
24	0.1685458006
25	0.1665839821
26	0.1654620403
27	0.1634769586
28	0.1617664157
29	0.1614595401
30	0.1598216332
31	0.1588045347
32	0.1569209568
33	0.15570342
34	0.1543743388
35	0.1530978889
36	0.1522705256
37	0.1503497688
38	0.1483813062
39	0.1475734232
40	0.1463422675
41	0.145772148
42	0.1447673138
43	0.1433167617
44	0.1421427825
45	0.1421034474
46	0.1409424341
47	0.1396364484
48	0.1385570282
49	0.1374953302
50	0.1368571486
51	0.1364380218
52	0.135664418
53	0.1347062367
54	0.1340249734
55	0.1329839269
56	0.1314935869
57	0.1306674864
58	0.1300941274
59	0.1292721333
60	0.1282227406
61	0.12771903
62	0.126910012
63	0.1262679823
64	0.1256659659
65	0.1252016495
66	0.1244849104
67	0.1236503153
68	0.1228944855
69	0.1222139994
70	0.1216738069
71	0.1208813985
72	0.1196309664
73	0.1187491145
74	0.1186918119
75	0.1179525135
76	0.1171429097
77	0.1165356428
78	0.1159111909
79	0.1152516666
80	0.1145632343
81	0.1140982631
82	0.1141036022
83	0.1136539557
84	0.1131986102
85	0.112549246
86	0.1123749055
87	0.1122119595
88	0.1112239316
89	0.1101096099
90	0.1095495126
91	0.1093835282
92	0.1088646807
93	0.1085791139
94	0.1075896914
95	0.1072677732
96	0.1069120219
97	0.1065551408
98	0.1058549112
99	0.1053054111
100	0.1049524323
101	0.1047188681
102	0.1042220281
103	0.1038340154
104	0.1031262198
105	0.1027947524
106	0.1021426541
107	0.1013426994
108	0.1006527537
109	0.1004636355
110	0.1000022892
111	0.09990731767
112	0.09946230925
113	0.09898980183
114	0.09861982707
115	0.09825138228
116	0.09788898926
117	0.09746219806
118	0.09725248178
119	0.09708886226
120	0.09676998869
121	0.09647939768
122	0.09628239594
123	0.09585533806
124	0.09572241786
125	0.09531543643
126	0.0948180423
127	0.09459217559
128	0.09428631406
129	0.09405692844
130	0.09367617957
131	0.09323927141
132	0.09314943104
133	0.09266039994
134	0.09252468772
135	0.09197454071
136	0.09123170279
137	0.09090473327
138	0.09050322898
139	0.09007741008
140	0.08993133127
141	0.08987920225
142	0.08952165618
143	0.08922498343
144	0.08910824522
145	0.08873020312
146	0.08857701146
147	0.08853323227
148	0.08813991235
149	0.08796314331
150	0.08767991821
151	0.08737497021
152	0.08712118341
153	0.08690120889
154	0.08649721238
155	0.08632895703
156	0.08602576716
157	0.0859036636
158	0.0858012236
159	0.0855924744
160	0.08523703238
161	0.0851180057
162	0.08465612795
163	0.08394756186
164	0.0836486045
165	0.08350952591
166	0.08334759422
167	0.08315857722
168	0.0828685572
169	0.08264712792
170	0.08255517422
171	0.08213335536
172	0.08198389348
173	0.08177585207
174	0.08153704831
175	0.08124773058
176	0.0809405358
177	0.08085526588
178	0.08073443448
179	0.0803889901
180	0.08010696426
181	0.07994465301
182	0.07956167913
183	0.07944939258
184	0.07908974608
185	0.07886542814
186	0.07871013614
187	0.07859935698
188	0.07847358513
189	0.07823222897
190	0.07814725524
191	0.07748400234
192	0.07741541392
193	0.07672072485
194	0.07658926277
195	0.07641723839
196	0.07620486622
197	0.07612370927
198	0.07596210221
199	0.07576994336
200	0.07565953985
201	0.07545606419
202	0.0753711955
203	0.07516253573
204	0.07431097532
205	0.07404306289
206	0.07389130466
207	0.07381782304
208	0.0733461193
209	0.07302991033
210	0.07295554893
211	0.07286313018
212	0.07273135055
213	0.07268270525
214	0.07244106272
215	0.07228795528
216	0.07203234168
217	0.07196678952
218	0.07185774864
219	0.07182212769
220	0.07133318452
221	0.07112637846
222	0.07060366769
223	0.07041200375
224	0.070292803
225	0.07017698398
226	0.07004611307
227	0.06990603594
228	0.06977753982
229	0.06930921777
230	0.06925462343
231	0.06922811981
232	0.06902826098
233	0.06894852182
234	0.06822653602
235	0.06817575795
236	0.06763345876
237	0.06743486841
238	0.06700044346
239	0.06648960281
240	0.06599408737
241	0.06551355758
242	0.06498202098
243	0.06493830059
244	0.06447751114
245	0.06433185364
246	0.06426291922
247	0.06417658836
248	0.06384042153
249	0.06370081029
250	0.0632574401
251	0.06316729146
252	0.06275014233
253	0.06234884431
254	0.06231028258
255	0.0619155734
256	0.06187817366
257	0.06144824421
258	0.06141263585
259	0.06128184581
260	0.0612475911
261	0.06083596034
262	0.06070231578
263	0.06043828393
264	0.06017905642
265	0.05977256548
266	0.05966107153
267	0.05926368158
268	0.05887815772
269	0.05852177329
270	0.0584916677
271	0.05838654905
272	0.05809004437
273	0.05775554923
274	0.05741754115
275	0.05708452314
276	0.05699731453
277	0.05691272219
278	0.05688534035
279	0.05658148899
280	0.05629598836
281	0.05606082333
282	0.05582291346
283	0.0555177161
284	0.05529611571
285	0.05527104466
286	0.05524669359
287	0.05517590449
288	0.05492805376
289	0.0547182825
290	0.05463482703
291	0.05455387524
292	0.0544838332
293	0.05442302225
294	0.05435682273
295	0.05410752697
296	0.05391648745
297	0.05384447926
298	0.05382406366
299	0.05360980369
300	0.05354166284
301	0.05333484934
302	0.05312545718
303	0.0529104274
304	0.05286397352
305	0.05281008394
306	0.05279194025
307	0.05277435696
308	0.05258731974
309	0.05243105872
310	0.05241476042
311	0.05226362027
312	0.05224827965
313	0.05220645557
314	0.05215794186
315	0.05214334081
316	0.05212917779
317	0.05209002962
318	0.05190294607
319	0.05188955234
320	0.05175107073
321	0.05173846362
322	0.05156126512
323	0.05143110275
324	0.05141940752
325	0.05137664443
326	0.05136543296
327	0.05135454907
328	0.05120363749
329	0.05115914097
330	0.05103857704
331	0.05099625437
332	0.05095520137
333	0.05079809777
334	0.05064570727
335	0.05049788849
336	0.05039192239
337	0.05038297876
338	0.05037430971
339	0.05023417108
340	0.05022587915
341	0.05009004883
342	0.05008211585
343	0.04998601312
344	0.04995198501
345	0.04991897267
346	0.04982672816
347	0.04973725099
348	0.04973041058
349	0.04972377538
350	0.04971734359
351	0.04960775294
352	0.04950145003
353	0.04947183007
354	0.04944309872
355	0.04934077785
356	0.04926212159
357	0.04916498787
358	0.04907096022
